,Message Body,Message Title,Sent On,NOTIFICATION,INCIDENT / CLERY 1,INCIDENT / CLERY 2,LOC_D,DES1_D,DES2_D,PV_D,PS_D,LOC_S,DES1_S,DES2_S,PV_S,PS_S,LOC_C,DES1_C,DES2_C,PV_C,PS_C,LOC_E,DES1_E,DES2_E,PV_E,PS_E
21,"Please note this message may contain information that some may find upsetting. 
 On 10-05-2021 12:00:00, a motor vehicle theft occurred at Morrison Hall. 
 We are seeing an increase in the theft of electric scooters on and near campus. Scooters are considered motor vehicles and need to be secured to prevent theft. Here are the precautions you can take to deter theft: -Use a high quality lock 
 -Always lock up your scooter",Motor Vehicle Theft at Morrison Hall,"Oct 05, 2021 13:23:57 PDT",Timely Warning ,Motor Vehicle Theft,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,Reconstructed Scenario,none,none,,,,,,,,,,
22,"Please note this message may contain information that some may find upsetting. 
 On 10-09-2021 10:53:00, a hate crime - intimidation was to reported to have occurred at Coffer Dam. 
 Vandalism to vehicle that involved hate crime.",Violent Crime Reported at Coffer Dam - Please note this message may contain information that some may find upsetting.,"Oct 09, 2021 11:28:33 PDT",Timely Warning ,Hate Crimes: Intimidation,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Memorable detail,none,none,none,,,,,,,,,,
23,"Please note this message may contain information that some may find upsetting. 
 This is an update to the previous WarnMe message regarding the hate crime that was reported to have occurred at the Cofferdam parking lot off of Centennial Drive. 
 Upon further investigation, UCPD officers determined a hate crime - vandalism was reported to have occurred at the Cofferdam parking lot off of Centennial Drive. The report indicated damage to a vehicle that was likely motivated by bias. No physical injuries or threats were reported.",UPDATE to Violent Crime Reported at Cofferdam parking lot off of Centennial Drive - Please note this message may contain information that some may find upsetting.,"Oct 09, 2021 13:12:45 PDT",Timely Warning ,Hate Crimes: Primary,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Memorable detail,Reconstructed Scenario,none,none,,,,,,,,,,
24,UC Berkeley WarnMe: Police activity at UC Botanical Garden. AVOID THE AREA until further notice.,UC Berkeley WarnMe: AVOID THE AREA of UC Botanical Garden,"Oct 10, 2021 15:58:15 PDT",Emergency Notification,Incident: Police Activity,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,,,,,,,,,,
25,UC Berkeley WarnMe: Update - AREA CLEAR. UC Botanical Garden. Resume all activity.,UC Berkeley WarnMe: AREA CLEAR. Resume all activity - UC Botanical Garden,"Oct 10, 2021 16:15:19 PDT",All Clear,Incident: Police Activity,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,,,,,,,,,,
26,"Berkeley, California (Wednesday, October 13, 2021)—On October 6, 2021, at 5:46 pm, the University of California Police Department (UCPD) received a report of a motor scooter theft from the Recreational Sports Facility, on the UC Berkeley campus. A UCPD officer conducted a preliminary investigation and developed a lead on a possible suspect. (Since the start of the semester, UCPD has seen an increasing trend in the number of motor scooter thefts on campus.) On October 7, at 5:36pm, the UCPD officer noticed the theft suspect had returned to Spieker Plaza, on the UC Berkeley campus. During a subsequent investigation, the suspect was found to be in possession of other people's credit cards, narcotics, brass knuckles, bear spray and burglary tools. The suspect was arrested for a parole warrant and on suspicion of various theft and weapons charges.",Community Message - SUSPECTS CHARGED IN MOTOR SCOOTER THEFT AND THEFT OF ELECTRONICS,"Oct 13, 2021 13:23:24 PDT",Community Advisory ,Motor Vehicle Theft,None,Radius / Area,Reconstructed Scenario,none,none,none,All campus,Reconstructed Scenario,Memorable detail,none,"No Race, Gender Neutral",,,,,,,,,,
27,"Please note this message may contain information that some may find upsetting. 
 On 10-21-2021 10:00:00, a burglary occurred at 2333 College Ave Ida Jackson House. 
 Two unknown individuals entered the common area of an occupied residence and left when confronted. #21-01710",Burglary at 2333 College Ave Ida Jackson House,"Oct 22, 2021 00:52:31 PDT",Timely Warning ,Burglary,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral",,,,,,,,,,
28,"Please note this message may contain information that some may find upsetting. 
 On 10-22-2021 02:20:00, an aggravated assault occurred in front of 2415 Dwight Way. 
 Victim was in front of 2415 Dwight Way, when she was approached by a male subject to let him into the address. She refused to allow him in and he pointed a gun at her. The victim was not physically injured and the suspect left the area in a large white truck E/B Dwight Way. 
 Any information forward to the Berkeley Police Dept (case #21- 48695)",Violent Crime Reported at In front of 2415 Dwight Way - Please note this message may contain information that some may find upsetting.,"Oct 22, 2021 02:45:03 PDT",Timely Warning ,Aggravated Assault,None,Address / Specific Named,Reconstructed Scenario,Memorable detail,"Gender, No Race","Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,"Gender, No Race","Gender, No Race",,,,,,,,,,
29,"Please note this message may contain information that some may find upsetting. 
 On 10-25-2021 08:17:00, a burglary occurred at Li Ka Shing Office 100c. 
 Two Laptops were taken from Li Ka Shing between 10/22/21 1500 hours - 10/25/21 0817 hours. No suspect information at this time. This case is under investigation.",Burglary at Li Ka Shing Office 100c,"Oct 25, 2021 18:12:18 PDT",Timely Warning ,Burglary,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,,,,,,,,,,
30,"Please note this message may contain information that some may find upsetting. 
 On 10-22-2021 04:25:00, a burglary occurred at Cesar E. Chavez. 
 Unknown suspect entered Cesar E. Chavez and proceeded to enter an office on the 1st floor. Suspect rummages through the office and takes unknown property. 
 UCPD Case #21-01713.",Burglary at Cesar E. Chavez,"Oct 22, 2021 06:38:50 PDT",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,,,,,,,,,,
